name,model_size,unique_tokens,total_tokens,loss
2b84b4b,2810000000.0,4000000000.0,4000000000.0,3.265024
2b88b4b,2810000000.0,8000000000.0,4000000000.0,2.995093
2b812b4b,2810000000.0,12000000000.0,4000000000.0,2.884387
2b816b4b,2810000000.0,16000000000.0,4000000000.0,2.823208
2b824b4b,2810000000.0,24000000000.0,4000000000.0,2.752407
2b832b4b,2810000000.0,32000000000.0,4000000000.0,2.722962
2b840b4b,2810000000.0,40000000000.0,4000000000.0,2.706547
2b855b11b,2810000000.0,55000000000.0,11000000000.0,2.599277
2b855b11b,2810000000.0,55000000000.0,11000000000.0,2.599763
2b855b11b,2810000000.0,55000000000.0,11000000000.0,2.600254
2b855b11b,2810000000.0,55000000000.0,11000000000.0,2.598042
2b855b14b,2810000000.0,55000000000.0,14000000000.0,2.592292
2b855b14b,2810000000.0,55000000000.0,14000000000.0,2.590478
2b855b14b,2810000000.0,55000000000.0,14000000000.0,2.588968
2b855b14b,2810000000.0,55000000000.0,14000000000.0,2.591426
2b855b18b,2810000000.0,55000000000.0,18000000000.0,2.582283
2b855b18b,2810000000.0,55000000000.0,18000000000.0,2.581189
2b855b18b,2810000000.0,55000000000.0,18000000000.0,2.584074
2b855b18b,2810000000.0,55000000000.0,18000000000.0,2.581949
2b855b1b25,2810000000.0,55000000000.0,1250000000.0,3.425332
2b855b1b25,2810000000.0,55000000000.0,1250000000.0,3.422794
2b855b1b25,2810000000.0,55000000000.0,1250000000.0,3.425154
2b855b1b25,2810000000.0,55000000000.0,1250000000.0,3.428524
2b855b28b,2810000000.0,55000000000.0,28000000000.0,2.575713
2b855b28b,2810000000.0,55000000000.0,28000000000.0,2.576707
2b855b28b,2810000000.0,55000000000.0,28000000000.0,2.574265
2b855b28b,2810000000.0,55000000000.0,28000000000.0,2.575176
2b855b4b,2810000000.0,55000000000.0,4000000000.0,2.693317
2b855b4b,2810000000.0,55000000000.0,4000000000.0,2.691274
2b855b4b,2810000000.0,55000000000.0,4000000000.0,2.692641
2b855b4b,2810000000.0,55000000000.0,4000000000.0,2.692532
2b855b55b,2810000000.0,55000000000.0,55000000000.0,2.569702
2b855b55b,2810000000.0,55000000000.0,55000000000.0,2.568221
2b855b55b,2810000000.0,55000000000.0,55000000000.0,2.569587
2b855b55b,2810000000.0,55000000000.0,55000000000.0,2.570589
2b855b9b,2810000000.0,55000000000.0,9000000000.0,2.609228
2b855b9b,2810000000.0,55000000000.0,9000000000.0,2.60509
2b855b9b,2810000000.0,55000000000.0,9000000000.0,2.605155
2b855b9b,2810000000.0,55000000000.0,9000000000.0,2.606114
2b855b1b25,2810000000.0,55000000000.0,1250000000.0,3.422766
2b855b4b,2810000000.0,55000000000.0,4000000000.0,2.696432
2b855b9b,2810000000.0,55000000000.0,9000000000.0,2.611045
2b855b11b,2810000000.0,55000000000.0,11000000000.0,2.598793
2b855b14b,2810000000.0,55000000000.0,14000000000.0,2.589427
2b855b18b,2810000000.0,55000000000.0,18000000000.0,2.584592
2b855b28b,2810000000.0,55000000000.0,28000000000.0,2.579361
2b855b55b,2810000000.0,55000000000.0,55000000000.0,2.574117
4b212b12b,4246500000.0,12000000000.0,12000000000.0,2.84889
4b224b12b,4246500000.0,24000000000.0,12000000000.0,2.691483
4b236b12b,4246500000.0,36000000000.0,12000000000.0,2.618343
4b248b12b,4246500000.0,48000000000.0,12000000000.0,2.577519
4b260b12b,4246500000.0,60000000000.0,12000000000.0,2.56039
4b272b12b,4246500000.0,72000000000.0,12000000000.0,2.539524
4b284b12b2,4246500000.0,84100000000.0,2200000000.0,2.520537
4b284b12b,4246500000.0,84000000000.0,12000000000.0,2.538173
4b284b12b,4246500000.0,84000000000.0,12000000000.0,2.526042
4b284b12b,4246500000.0,84000000000.0,12000000000.0,2.537281
4b284b12b,4246500000.0,84000000000.0,12000000000.0,2.52779
4b284b17b,4246500000.0,84000000000.0,17000000000.0,2.549558
4b284b17b,4246500000.0,84000000000.0,17000000000.0,2.503345
4b284b17b,4246500000.0,84000000000.0,17000000000.0,2.499933
4b284b17b,4246500000.0,84000000000.0,17000000000.0,2.49604
4b284b1b9,4246500000.0,84000000000.0,1900000000.0,3.118388
4b284b1b9,4246500000.0,84000000000.0,1900000000.0,3.082603
4b284b1b9,4246500000.0,84000000000.0,1900000000.0,3.111291
4b284b1b9,4246500000.0,84000000000.0,1900000000.0,3.146578
4b284b21b,4246500000.0,84000000000.0,21000000000.0,2.502885
4b284b21b,4246500000.0,84000000000.0,21000000000.0,2.480593
4b284b21b,4246500000.0,84000000000.0,21000000000.0,2.491781
4b284b21b,4246500000.0,84000000000.0,21000000000.0,2.477816
4b284b28b,4246500000.0,84000000000.0,28000000000.0,2.479697
4b284b28b,4246500000.0,84000000000.0,28000000000.0,2.482804
4b284b28b,4246500000.0,84000000000.0,28000000000.0,2.477427
4b284b28b,4246500000.0,84000000000.0,28000000000.0,2.494708
4b284b42b,4246500000.0,84000000000.0,42000000000.0,2.470463
4b284b42b,4246500000.0,84000000000.0,42000000000.0,2.491261
4b284b42b,4246500000.0,84000000000.0,42000000000.0,2.469242
4b284b42b,4246500000.0,84000000000.0,42000000000.0,2.469873
4b284b84b,4246500000.0,84000000000.0,84000000000.0,2.464149
4b284b84b,4246500000.0,84000000000.0,84000000000.0,2.461136
4b284b84b,4246500000.0,84000000000.0,84000000000.0,2.480773
4b284b84b,4246500000.0,84000000000.0,84000000000.0,2.476263
4b284b6b,4246500000.0,84000000000.0,6000000000.0,2.602034
4b284b6b,4246500000.0,84000000000.0,6000000000.0,2.60431
4b284b6b,4246500000.0,84000000000.0,6000000000.0,2.609
4b284b6b,4246500000.0,84000000000.0,6000000000.0,2.614594
4b284b1b9,4246500000.0,84000000000.0,1900000000.0,3.276627
4b284b6b,4246500000.0,84000000000.0,6000000000.0,2.63941
4b284b12b,4246500000.0,84000000000.0,12000000000.0,2.526961
4b284b17b,4246500000.0,84000000000.0,17000000000.0,2.48506
4b284b21b,4246500000.0,84000000000.0,21000000000.0,2.471375
4b284b28b,4246500000.0,84000000000.0,28000000000.0,2.467156
4b284b42b,4246500000.0,84000000000.0,42000000000.0,2.470016
4b284b84b,4246500000.0,84000000000.0,84000000000.0,2.45653
8b7178b25b,8670000000.0,178000000000.0,25000000000.0,2.358995
8b7178b13b,8670000000.0,178000000000.0,13000000000.0,2.451606
8b7178b25b,8670000000.0,178000000000.0,25000000000.0,2.376484
8b7178b35b,8670000000.0,178000000000.0,35000000000.0,2.360029
8b7178b44b,8670000000.0,178000000000.0,44000000000.0,2.351177
8b7178b58b,8670000000.0,178000000000.0,58000000000.0,2.348107
8b7178b88b,8670000000.0,178000000000.0,88000000000.0,2.337275
8b7178b178b,8670000000.0,178000000000.0,178000000000.0,2.336741
7m100m100m,7098752.0,100000000.0,100000000.0,8.102005
7m200m100m,7098752.0,200000000.0,100000000.0,7.36236
1b1100m100m,1096300000.0,100000000.0,100000000.0,6.611002
2b8100m100m,2810000000.0,100000000.0,100000000.0,7.518863
14m100m100m,14100000.0,100000000.0,100000000.0,7.278144
20m400m400m,19703712.0,400000000.0,400000000.0,6.096268
25m400m400m,35500000.0,400000000.0,400000000.0,5.79413
25m200m100m,35500000.0,200000000.0,100000000.0,6.252892
25m400m100m,35500000.0,400000000.0,100000000.0,5.799587
25m800m100m,35500000.0,800000000.0,100000000.0,5.284175
14m200m100m,14100000.0,200000000.0,100000000.0,6.664138
14m400m100m,14100000.0,400000000.0,100000000.0,6.273184
14m800m100m,14100000.0,800000000.0,100000000.0,5.816824
14m1b5100m,14100000.0,1500000000.0,100000000.0,5.364749
14m2b7100m,14100000.0,2700000000.0,100000000.0,4.992776
14m3b9100m,14100000.0,3900000000.0,100000000.0,4.741132
14m5b9100m,14100000.0,5900000000.0,100000000.0,4.546227
14m7b5100m,14100000.0,7500000000.0,100000000.0,4.472296
14m14b100m,14100000.0,14000000000.0,100000000.0,4.383392
14m20b100m,14100000.0,20000000000.0,100000000.0,4.51041
14m91b100m,14100000.0,91000000000.0,100000000.0,4.396074
14m174b100m,14100000.0,174000000000.0,100000000.0,4.359691
14m300b100m,14100000.0,300000000000.0,100000000.0,4.36911
14m600b100m,14100000.0,600000000000.0,100000000.0,4.331469
14m900b100m,14100000.0,900000000000.0,100000000.0,4.304018
44m200m100m,44000000.0,200000000.0,100000000.0,6.18997
44m400m100m,44000000.0,400000000.0,100000000.0,5.648868
44m1b5100m,44000000.0,1500000000.0,100000000.0,4.387672
44m2b7100m,44000000.0,2700000000.0,100000000.0,4.113597
44m3b9100m,44000000.0,3900000000.0,100000000.0,3.988205
44m5b9100m,44000000.0,5900000000.0,100000000.0,3.89434
44m7b5100m,44000000.0,7500000000.0,100000000.0,3.854261
44m14b100m,44000000.0,14000000000.0,100000000.0,3.807672
44m20b100m,44000000.0,20000000000.0,100000000.0,3.92903
44m32b100m,44000000.0,32000000000.0,100000000.0,3.89224
44m91b100m,44000000.0,91000000000.0,100000000.0,3.8362
44m174b100m,44000000.0,174000000000.0,100000000.0,3.812315
83m1b51b5,82700000.0,1500000000.0,1500000000.0,4.36208
196m1b51b5,201236224.0,1500000000.0,1500000000.0,3.929866
1b11b51b5,1096300000.0,1500000000.0,1500000000.0,3.680017
1b11b5400m,1096300000.0,1500000000.0,400000000.0,3.704141
1b11b5100m,1096300000.0,1500000000.0,100000000.0,3.819042
1b12b7100m,1096300000.0,2700000000.0,100000000.0,4.09782
1b13b9100m,1096300000.0,3900000000.0,100000000.0,4.83492
1b15b9100m,1096300000.0,5900000000.0,100000000.0,6.013517
1b17b5100m,1096300000.0,7500000000.0,100000000.0,6.74229
619m2b72b7,618700000.0,2700000000.0,2700000000.0,3.415532
619m2b71b5,618700000.0,2700000000.0,1500000000.0,3.409955
619m2b7400m,618700000.0,2700000000.0,400000000.0,3.449187
619m2b7100m,618700000.0,2700000000.0,100000000.0,3.829336
619m1b5100m,618700000.0,1500000000.0,100000000.0,3.784308
619m3b9100m,618700000.0,3900000000.0,100000000.0,4.152834
619m5b9100m,618700000.0,5900000000.0,100000000.0,4.668028
619m7b5100m,618700000.0,7500000000.0,100000000.0,5.001218
421m3b93b9,421200000.0,3900000000.0,3900000000.0,3.348126
421m3b91b5,421200000.0,3900000000.0,1500000000.0,3.35496
421m3b9400m,421200000.0,3900000000.0,400000000.0,3.404755
421m3b9100m,421200000.0,3900000000.0,100000000.0,3.89862
421m1b5100m,421200000.0,1500000000.0,100000000.0,3.797898
421m2b7100m,421200000.0,2700000000.0,100000000.0,3.747371
421m5b9100m,421200000.0,5900000000.0,100000000.0,4.169935
421m7b5100m,421200000.0,7500000000.0,100000000.0,4.376178
280m5b95b9,281000000.0,5900000000.0,5900000000.0,3.319542
280m5b91b5,281000000.0,5900000000.0,1500000000.0,3.330755
280m5b9400m,281000000.0,5900000000.0,400000000.0,3.386692
280m5b9100m,281000000.0,5900000000.0,100000000.0,3.882211
280m1b5100m,281000000.0,1500000000.0,100000000.0,3.877228
280m2b7100m,281000000.0,2700000000.0,100000000.0,3.72759
280m3b9100m,281000000.0,3900000000.0,100000000.0,3.754965
280m7b5100m,281000000.0,7500000000.0,100000000.0,3.99341
280m91b400m,281000000.0,91000000000.0,400000000.0,3.312059
220m7b57b5,220500000.0,7500000000.0,7500000000.0,3.310159
220m7b51b5,220500000.0,7500000000.0,1500000000.0,3.325092
220m7b5400m,220500000.0,7500000000.0,400000000.0,3.374362
220m7b5100m,220500000.0,7500000000.0,100000000.0,3.848433
220m1b5100m,220500000.0,1500000000.0,100000000.0,3.932167
220m2b7100m,220500000.0,2700000000.0,100000000.0,3.752793
220m3b9100m,220500000.0,3900000000.0,100000000.0,3.721901
220m5b9100m,220500000.0,5900000000.0,100000000.0,3.78097
146m14b14b,146500000.0,14000000000.0,14000000000.0,3.319729
146m14b1b5,146500000.0,14000000000.0,1500000000.0,3.334061
146m14b400m,146500000.0,14000000000.0,400000000.0,3.390927
146m14b100m,146500000.0,14000000000.0,100000000.0,3.801428
146m60b400m,146500000.0,60000000000.0,400000000.0,3.34025
146m91b400m,146500000.0,91000000000.0,400000000.0,3.311519
146m174b400m,146500000.0,174000000000.0,400000000.0,3.277013
146m1b5100m,146500000.0,1500000000.0,100000000.0,4.033501
146m2b7100m,146500000.0,2700000000.0,100000000.0,3.80764
146m3b9100m,146500000.0,3900000000.0,100000000.0,3.732758
146m5b9100m,146500000.0,5900000000.0,100000000.0,3.718068
146m7b5100m,146500000.0,7500000000.0,100000000.0,3.735044
146m20b100m,146500000.0,20000000000.0,100000000.0,3.756257
146m32b100m,146500000.0,32000000000.0,100000000.0,3.793078
146m60b100m,146500000.0,60000000000.0,100000000.0,3.846421
146m91b100m,146500000.0,91000000000.0,100000000.0,3.862952
146m174b100m,146500000.0,174000000000.0,100000000.0,3.897418
83m20b20b,82700000.0,20000000000.0,20000000000.0,3.608018
83m20b1b5,82700000.0,20000000000.0,1500000000.0,3.618937
83m20b400m,82700000.0,20000000000.0,400000000.0,3.651057
83m20b100m,82700000.0,20000000000.0,100000000.0,3.790125
83m400m100m,82700000.0,400000000.0,100000000.0,5.488318
83m1b5100m,82700000.0,1500000000.0,100000000.0,4.20696
83m2b7100m,82700000.0,2700000000.0,100000000.0,3.953894
83m3b9100m,82700000.0,3900000000.0,100000000.0,3.844048
83m5b9100m,82700000.0,5900000000.0,100000000.0,3.774708
83m7b5100m,82700000.0,7500000000.0,100000000.0,3.747734
83m14b100m,82700000.0,14000000000.0,100000000.0,3.725231
83m32b100m,82700000.0,32000000000.0,100000000.0,3.747091
83m60b100m,82700000.0,60000000000.0,100000000.0,3.747091
83m91b100m,82700000.0,91000000000.0,100000000.0,3.743505
83m174b100m,82700000.0,174000000000.0,100000000.0,3.734349
83m300b100m,82700000.0,300000000000.0,100000000.0,3.868704
2b84b84b8,2810000000.0,4800000000.0,4800000000.0,3.236253
2b84b81b5,2810000000.0,4800000000.0,1500000000.0,3.244249
2b84b8400m,2810000000.0,4800000000.0,400000000.0,3.378791
2b84b8100m,2810000000.0,4800000000.0,100000000.0,5.340819
1b58b88b8,1517300000.0,8800000000.0,8800000000.0,3.022525
1b58b84b8,1517300000.0,8800000000.0,4800000000.0,3.022745
1b58b81b5,1517300000.0,8800000000.0,1500000000.0,3.070052
1b58b8400m,1517300000.0,8800000000.0,400000000.0,3.479142
1b58b8100m,1517300000.0,8800000000.0,100000000.0,7.679766
1b112b12b,1096300000.0,12000000000.0,12000000000.0,2.925644
1b112b4b8,1096300000.0,12000000000.0,4800000000.0,2.927054
1b112b1b5,1096300000.0,12000000000.0,1500000000.0,2.996886
1b112b400m,1096300000.0,12000000000.0,400000000.0,3.547616
1b112b100m,1096300000.0,12000000000.0,100000000.0,8.136283
619m22b22b,618700000.0,22000000000.0,22000000000.0,2.900172
619m22b4b8,618700000.0,22000000000.0,4800000000.0,2.912009
619m22b1b5,618700000.0,22000000000.0,1500000000.0,2.973545
619m22b400m,618700000.0,22000000000.0,400000000.0,3.441785
619m22b100m,618700000.0,22000000000.0,100000000.0,6.840158
619m60b400m,618700000.0,60000000000.0,400000000.0,3.688865
619m91b400m,618700000.0,91000000000.0,400000000.0,3.756154
421m32b32b,421200000.0,32000000000.0,32000000000.0,2.912103
421m32b4b8,421200000.0,32000000000.0,4800000000.0,2.926206
421m32b1b5,421200000.0,32000000000.0,1500000000.0,2.980892
421m32b400m,421200000.0,32000000000.0,400000000.0,3.366502
421m32b100m,421200000.0,32000000000.0,100000000.0,5.783605
421m60b400m,421200000.0,60000000000.0,400000000.0,3.431953
421m91b400m,421200000.0,91000000000.0,400000000.0,3.465185
421m91b1b5,421200000.0,91000000000.0,1500000000.0,2.917592
421m250b1b5,421200000.0,250000000000.0,1500000000.0,2.890927
421m300b1b5,421200000.0,300000000000.0,1500000000.0,2.884335
221m60b60b,220500000.0,60000000000.0,60000000000.0,2.981407
221m60b4b8,220500000.0,60000000000.0,4800000000.0,2.993185
221m60b1b5,220500000.0,60000000000.0,1500000000.0,3.032319
221m60b400m,220500000.0,60000000000.0,400000000.0,3.258704
221m3b9400m,220500000.0,3900000000.0,400000000.0,3.525297
221m32b400m,220500000.0,32000000000.0,400000000.0,3.260515
221m91b400m,220500000.0,91000000000.0,400000000.0,3.261209
221m174b400m,220500000.0,174000000000.0,400000000.0,3.26072
221m300b400m,220500000.0,300000000000.0,400000000.0,3.257426
221m600b400m,220500000.0,600000000000.0,400000000.0,3.261908
8b712b12b,8670000000.0,12000000000.0,12000000000.0,3.140306
8b712b1b5,8670000000.0,12000000000.0,1500000000.0,3.063302
8b712b400m,8670000000.0,12000000000.0,400000000.0,4.538278
8b712b100m,8670000000.0,12000000000.0,100000000.0,7.385309
3b926b26b,3899710720.0,26000000000.0,26000000000.0,2.916993
3b926b12b,3899710720.0,26000000000.0,12000000000.0,2.947956
3b926b1b5,3899710720.0,26000000000.0,1500000000.0,3.02017
2b836b36b,2810000000.0,36000000000.0,36000000000.0,2.618932
2b836b12b,2810000000.0,36000000000.0,12000000000.0,2.636968
2b836b1b5,2810000000.0,36000000000.0,1500000000.0,3.065092
2b836b400m,2810000000.0,36000000000.0,400000000.0,6.548141
2b836b100m,2810000000.0,36000000000.0,100000000.0,10.69564
2b246b46b,2160013824.0,46000000000.0,46000000000.0,2.603919
2b246b12b,2160013824.0,46000000000.0,12000000000.0,2.638341
2b246b1b5,2160013824.0,46000000000.0,1500000000.0,3.029574
2b246b400m,2160013824.0,46000000000.0,400000000.0,5.896346
2b246b100m,2160013824.0,46000000000.0,100000000.0,10.87606
